content,link,reply_num,title
"就这种玩意儿 几十块的枪皮经常遇到每天就租两分钱的 租一个月才六毛。卖家往外租这个是图啥  一个月才挣6毛？我看了都有点发慌  不会最后押金拿不回来吧。新手不明白  懂哥解释一下啊
积少成多
我是这样想的，第一押金肯定高宇他买的价格，就算涨了之后被你买断他也不亏，第二库里可能很多a1皮肤，只是把库里小垃圾玩腻放哪也没用所以还不如拿出来租
我几个皮肤换着用，最近不会用到的皮肤就会去挂出租
30块钱一把的东西一天租金0.02，1000把才3w成本就有一天20块钱
涨了被买断 跌了跑不掉
量变引起质变
日利率接近万七，这样说还低吗
我超20年的老东西
不懂，跌了还跑不了
但凡你懂一点什么叫利息呢
我一朋友就在做这个 三个号一千多 价格都是百元以内 押金高 对方买断或者还不了还能赚一笔 枪的跌幅也不会太大 之前一些百元红能炼金以后给他赚飞了 可惜很多都被买断了
租着玩呗
如果他有1000把呢
20年？
主要是容易卡库存
不用的钱存银行一天利息就那么点 图的是什么
假如他有500把这种30块左右的皮，都租出去了 一年就有3600了，15000一年3600啥概念，接近25%了
你出租100把呢
比放余额宝里高就赚了
自己很喜欢不想卖，但又有别的皮肤玩，所以。。。
悠悠有品刚出的时候时候我上架过很多50元以下的皮肤，赚买断后的押金
不如存余额宝
会有傻子有各种情况归还不了。吃押金就可以了
鬼知道
很简单一句话，聊胜于无
这种确实感觉纯💩啊，买点传承都比这好
我库里都是些几十块的小皮肤 纯粹是自己用腻了 也不想卖 就出租 押金定高点 买断了也不亏 一天一分有的一次租个几把出去 就能买点便宜贴纸玩了
这利息可比存银行或者zfb高多了，还有概率涨价赚一波
赌有沙子被红锁还不了吧
这种东西租它干什么，几十块买了得了
说拿几百把出租的 有没有想过一天能不能出租那么多把为什么我不拿弟弟刀出租 这种1到2分钱出租本来就是种很抽象的行为
我也喜欢把不用的破烂枪皮租出去",https://tieba.baidu.com/p/10258518186,73,那些每天租金才2分钱的饰品出租 图的是什么？
"公告都没有，直接偷摸下架了？这扯不扯
说不定手滑了
一切皆有可能，上次五合一就爆出来内部员工囤红
真的吗？卧槽我真有
这有啥，你咋不说特朗普加200%关税就为了炒股呢
很明显有内幕，这几天一直有人在扫阿努比斯的东西
DOTA复制饰品的后门路边消息说是v社员工干的
工作人员吃麻吃串吃炸了
v社画k线
闹麻了，除了武库的东西，v社更新什么时候发过预告？胶囊下架，地图轮换，包括以前出大行动，都是直接更，从来不预告
5合1前 炼金材料你猜v社员工屯了没
少爷最近去v社上班了
2800涨到3100左右的时候把我的两把都卖了，我是废物
就像去年屯红皮的那些人
《人民的v社》《v社员工不差钱》
五合一那会，树篱潘多拉，不少人偷偷出货呢，一双一双砸求购
包有内鬼的
发不发都一样，市场反应都是很迅速的
这种事肯定有内鬼，就像一座金山摆你面前没人能忍得住
一言堂
没用，这东西材料太多了，囤包都囤爆了
人家的游戏乐意咋囤咋囤
有钱为啥不赚，连监管都没有，你在v社上班听说要下架不去屯装圣人？跟钱多大仇啊
涨价了就一定要买吗？
我也想当v社员工
特朗普:挣钱教学 v🐍:学习
那个包的？
员工吃麻了
十吧 人均200吧！
外商独资，小子
这还用想？下架皮肤的事肯定是工作人员决定的啊",https://tieba.baidu.com/p/10302270009,72,v社员工一人没十把荷鲁斯我是不信的
"花了几天终于从1000个模版挑到一个左手无灰的一线特工了，略磨0.143，挑了好几个模版只有这个有货，方块也差不多完整，主要持步枪我是接受不了一点灰的，持手枪只要不是很严重还能接受，花了3888不知亏没亏
问一下有哪几个模板是无灰的呀？
一线特工挑灰是真能挑很久主要得进游戏一个个看
开心就好，不过你溢价 500 多买的，以后腻了出手会很牢吧
啥模板，是buff买的那个492么
我这个是0.145的磨损，模板460，我感觉还行吧
前天抄底3150，389模板，0.143磨损",https://tieba.baidu.com/p/10309227172,18,花了几天终于从1000个模版挑到一个左手无灰的一线特工了，略
"不好受是真的。我22年入坑，完美最高也才A，比不上大多数吧友，这把对面我看了一下大概都是c加水平，自己手感也还不错。所以杀了30几个，中间是我。段位最高的一个赛季，已经很久没打了，平时也是打打箱子。QQ就不放给大伙了。图二是我的大号，图三是用小号打的官匹箱子。发帖的原因是小号这一把前面刚好有个挂哥，还一直被嘲讽，自己明明是绿玩却被看作开挂的属实难受，不想和那些挂全坐一桌。
官匹没什么可说的，大部分人不是新手就是挂哥，部分老手打箱子
虽然后面几把没想打了，但是我才注意到有个i系列的兄弟，这下悲情英雄了
我都被举报烂了
官匹pro一堆人说我开挂，开没开自己知道，这不是赞美吗
完美A应该超过80%吧友
这不是好事吗，难受啥
被人说挂不是好事？我都公屏打字谢谢夸奖了呢，然后开心一会，打完下载录像再仔细品味开心一会，躲被窝里睡觉起回味一下精彩瞬间，第二天睡醒看看数据开心一下
我遇到了这些虚空鉴挂不但顺着他们说我就是挂，我还要告诉他们号里有库存而且你举报点烂了我也封不了
fps不杜绝外挂，无论你那天状态多好，神经枪多神，都会让别人觉得你是个挂，而不是觉得你厉害。这是fps游戏的悲哀。
遇到过同样的
不用管，我现在没法打平台就打打官匹，老被举报成黄信，主业还有一堆骂我的
没真开就无需在意，当赞美就行或者不行直接屏蔽打自己的，你没开他举报你你也封不了",https://tieba.baidu.com/p/10306132493,20,也是被人当挂了
"鼠鼠玩了 1000h 的瓦，勉勉强强上了个铂金，十把有六把带妹炸鱼车，两把挂，剩两把正常人的局还都不开麦交流。后来鼠鼠接触了 cs，打了 50 小时完美平台上了个 B+，现在二百小时买了个优先一边在官匹打箱子一边打平台，保持在 B 。第一个感叹就是环境。我 5E 完美都打，到现在遇到的带妹炸鱼车仅有一把，可能是鼠鼠运气好？鼠鼠也遇见过女队友，开麦说话也很好听，但是其他队友都是正常交流正常玩。而我打瓦的时候亲眼看见队友管妹子叫妈妈还问能不能加好友，因为我没给垫底奶妈发大狙被队友骂还鞭尸🥲。我基本都是单排，队友交流都很主动，一进来就问有没有麦，压力也很少，都是互相鼓励。单排瓦是真难受，其他人要不不开麦要不有房间麦，死了不报点也不交流。我瓦先锋打的多，问决斗怎么给道具他不开麦当哑巴一整局都不说话，结果说他打的有问题的时候他就有麦了，就蛮奇怪的。第二个就是瞄准焦虑。怎么说呢，瓦是真的会制造焦虑。前ow职业yjj之前晒自己打瓦的时候的设备，换的键盘搁桌子上摞起来快到天花板，鼠标鼠标垫更多，还有显示器。里面有个别是接的广，但大部分还都是自己主动换的。打瓦过程中会产生自我怀疑，然后想尽办法提升自己，他转了粥之后，设备除了换了个显示器，其他就没换过。我自己打瓦的时候也是一直研究鼠标键盘，还换了个 ATK 全家桶。玩cs 的时候发现好像这边的人对外设好像没那么看重？外设在 cs 视频里的推广比在瓦里少很多。
cs不怎么吃外设，donk狗2gpro一样猛杀，唯一需要的就是时间来沉淀
cs里面男女平等
cs更纯粹不是乱吹的
玩游戏就好好玩游戏，别玩饰品你就能有很好的体验
真有给奶妈发大狙?
不给大哥发大狙吗? 给垫底奶妈发能赢吗
瓦国服出之前也是妖魔鬼怪更多，然后都被引流走了，现在最多的节奏也是导购空狗也挺好的，至少不会影响正常玩家和萌新体验。而且有些热度也不至于游戏太凉
瓦为什么会有外设焦虑
没有瓦的时候没有妈妈，但有网络公主和👅🐶骑士
我感觉玩瓦的胜负欲好强，而且特别喜欢架点，打的不好就被攻击，问题是段位才白银黄金甚至是极速
真的吗，我感觉cs女的压力怪更多，反而瓦的少一点。不过cs确实感觉丝滑流畅
你这楼下就是喷开挂炸鱼加嘴臭的没绷住
CS的游戏体验确实比瓦好 至少碰见魔怔人的次数比瓦少多了
cs毕竟donk这种都是机械键盘+狗屁王2代，放瓦里应该没有用这种外设的
瓦真的难打，打排位白银黄金局都准得比极速模式遇到的铂金钻石还准
市面上这些fps网游我基本都玩，瓦确实是我最不喜欢的一个了，买了一些皮肤游戏时间还没100h
瓦全是哑巴恶心的要死
你可以在完美天梯寻找到最纯粹的瞄准机器
在国内瓦比cs火，理性的说一下，一个游戏越火神人就越多，而且cs和瓦就像麦当劳和肯德基，瓦爆火肯定会吸引一部分cs玩家玩玩瓦，引流走的神人也不少，题主你要是瓦出来之前玩的cs就知道了，那时候的妖魔鬼怪比现在多不少
人越多神人越多，人越少神人越神。这这个不会变。
玩游戏总是什么人都能碰到， Cs也一样，只不过可能没有其他更热门的游戏遇到的多，玩了很多年了，几乎没玩过其他游戏，收藏的cs网站，不包括皮肤都200多了，这个游戏需要一生去精通。不懂的看起来就是两批人互射，实际上太多太多的细节了
玩的还是少，被小透打两把看着他三个月不封就死心了
瓦炸鱼的太多了，懒得说
那你可能真是赶上好时代，我22.23玩的时候ez层出不穷，压力怪和摆烂的也有
只能说cs不火了  当年的樱岛麻衣比奇堡翻斗花园牛爷爷wdnmd
瓦卷外设我还没感觉到，可能刚玩不久。我go千小时，当初记得外设优先级鼠标>=屏幕>耳机>键盘。电脑好一些就行。鼠标之前用zowie za13现在大的gpro，一起用过小的gpro。 144甚至120屏幕我都觉得够用。
游戏时长太短了，你还没遇到cs里面的垃圾人呢，遇到一次恶心你一个礼拜
1k小时瓦才勉强上铂金吗？？我双修的200多小时已经超凡了甚至排位是上赛季才开始打的
能玩就行，我还在用以前网吧倒闭捡的键鼠
说句公道话，cs平台就是比瓦素质高环境好，没问题吧
很夸张，我打的第一把5e单排，2.03的rating带飞了，但是局内有个东北口音的一直压力我，说我挤着他了，他捡不到枪然后我就没打过go了
你不用质疑就是比隔壁好，一个游戏女性玩家多了对于想玩游戏的的来说不是什么好事，隔壁就是例子，下三基本把把都有炸鱼。go我打了一千多小时了，碰到的妹不超过二十个
看看瓦环境
你这铂金神人确实挺多，我现在超凡说实话还行，怪东西也有，大部分情况还好，cs我打完美，单排能匹4黑太蠢了，绝对单排匹不到人，我现在在a到a+这一块，怪东西不会比瓦少，昨天出去一看还有个黄金s24星的，挺莫名其妙
刚玩瓦的时候才没几天就遇到两次匹配压力对骂的，太变态了
交流这一块 ，cs太好了，瓦都是哑巴居多 ，死了不报点搁那标点，谁他妈有空看你标的点啊
瓦这cs游戏为了照顾🪵🐶死活不出单排模式
这两年我是感觉环境好了太多了，也可能年纪大了有些语气话什么的不敏感了
因为喜欢撩妹的都去瓦三角洲了，提纯过后环境当然会变好啊
瓦纯粹是被搞成了腾讯系游戏的一贯套路，社交属性远大于竞技属性的玩意儿，环境烂完了
cs不和挪威人一起玩都还不错
瓦太多妹妹了，都说是玩网络找Ma梗引流了一堆，实际上在瓦国服出之前我玩国际服的时候也是一堆妹妹和压抑男。别扯什么瓦出之前CS人均胆小好色，至少我玩瓦国际服的时候基本上每把都有女生，开麦只是笑就一堆👻男（日韩越）舔个不停。都不说别的，CS哪来这么多女生给你遇见。至于国服，我和朋友就算双排占了两个坑基本上也是队友稳出一位女生，看ID对面估计也是稳有一位女生
最主要的还是玩瓦氛围太压抑了经常一整把下来就一两句话，cs开麦的人会多很多
cs出世太久了，大家是有胜负欲的但是不至于压力别人，没有刻意想要在别人面前表现自己的想法，享受游戏就行了，顶多闭麦背地下骂几句队友不是人，鼓励还是多一点的
我也是瓦转GO，我打的是港服瓦，那些人更抽象，但是好好打游戏还是可以玩，现在打GO200多小时，go真的好玩
瓦纯当娱乐，10局里9局队友是哑巴
外设因人而异，有些人喜欢玩外设自然外设多，不在乎这些的人，有个基本的常见电竞鼠标和机械键盘就够用了，像yjj这种主播外设多更是再正常不过了
瓦这游戏有一部分社交属性在里面，因为国服腾子宣发等因素，玩的人自然相比较于cs要多的多，很多人还都是通过瓦才知道cs的呢，神人多很正常，但凡人多了，遇见神人概率就大了，cs也别说环境有多好，跟瓦比起来只是人稍微少了点而已，其实半斤八两，还是那句话，因人而异，我也是瓦cs双修的，但唯一不同的点在于，打瓦的人想上分的人感觉没那么多，而cs反而在乎段位的人比较多，导致竞技环境肯定是比瓦要好的，所以竞技环境这方面是肯定比瓦舒服的，这还只是一点，还有一点就是瓦的开局定位的局限性，瓦天梯一局就已经定好你这局的位置，干啥都已经受限制了，cs反而没这些条条框框，反而更轻松
其他都感同身受，不过yjj其实他自己很久之前就已经有一堆外设了，纯个人乐趣
反正我是觉得go环境比瓦好不是一星半点，至少极低概率遇到哑巴局，玩瓦单排遇到正常说话的人太罕见了，和一个瓦批哥们一说这事，就是你段位太低是这样的，但是单排这种nt局根本打不上去，玩瓦我感觉不像玩fps，跟moba一样，角色不认全技能不清楚就没法打
大部分cs玩家是真拿cs当游戏看的，但对大部分瓦玩家来说瓦只是个社交的媒介，这个媒介之前是cs，现在是瓦，以后可能就是三角洲，说白了对他们来说烂就烂了，大不了换游戏就行
昨晚才排俩女的双排，1正常带1菜，有钳子 8秒不拆包，我扣问号问那个菜的在干嘛另一个女的直接就开麦护上了，真是闹麻了
刚开学带舍友打瓦啥也没干被对面鞭尸就卸了，前两天高中同学叫我打瓦我下回来打的第一把又被鞭尸😅我这两三个月高强度打go除了深夜国服官匹这种阴间场合一把都没被鞭过
完美炸鱼的也多 只是不带妹 单纯炸
瓦里面对新手很不友好，低段位全是哑巴，CS C+段交流也蛮多的
不要把自己的菜归咎于外设现在一套正常外设的延迟正常人根本试不出来
cs炸鱼是真的
行了吧，没人在意你这个，都在洞载大战吵的不可开交
也算骨灰级老fps玩家了小时候什么cf cs1.6 包括后来h1z1 吃鸡 ow apex什么都玩 到现在cs五千个小时应该也还是有了，但是唯独玩不惯瓦那个射击手感就很奇怪
瓦不交流，GO频繁交流，有很大一部分原因是游戏导致的。瓦的小地图能看见队友加强视野，活着能标点死了也能标点，开局还有准备时间。此外瓦角色的道具分工很明显，而且道具过于强力（这也部分归因于地图设计不复杂）。如果换成CS，就是每张图都像是打沙二，开局30秒T五个人先瞎jb跑一跑，诶，正好有四个人往A大跑，那这把就打A了。然后手里唯一有烟的那个人就标一下点，地图上告诉你我要丢一个黑豹过点烟一个警家烟。好了游戏开始，有闪的人公式化丢两个出A大闪光，或者有信息探测的人射个默认箭开个飞机，凭借强力道具直接一波A。再然后就是互换人头下包打残局，残局也不说话，就标个点告诉你最后一个CT是从小道来的。那确实不用说话，干啥都是公式化操作收益最高，决斗差不多也知道你“应该”往哪丢道具，你丢不好他首先也能凭着技能活下来（瓦的多数情况他能一个dash抢蓝箱，CS里没闪几乎出不来A大门）。残局也不用过多交流。防守方也类似，每个角色位置都比较固定，因为他站那就是收益最高（就一个人负责全队的防守补烟，他不站中路附近站包点主防吗）但是这样也导致玩家间比较有隔阂，沟通能解决大部分的隔阂，还能提前为某些非常规进攻做预案。CS从官匹休闲拉呱开始就主动形成交流的氛围，打天梯也是因为缺少信息收集因素、每个人只能起一烟一火（远古时代甚至不能丢地上，必须要人齐了一块爆弹），所以玩家交互越多。甚至说开麦交流这么密切的，CS应该是独一档，其他类型（LOL，DOTA，瓦，OW，R6等等）都很难像CS这样。
好转，兄弟
我在沙二遇见的东北哥加起来给我全家咩几百次了
go里基本上都开麦说两句
完美c段和你铂金遇到的差不多，瓦你得炒饭才差不多全开麦，到处都有神人，cs主要是很蠢，没补枪没道具没得做，架烟完就架封进攻和防守一样，还聚在一起就看两个方向，cs最恶心的主动要投降都难投降，碰见神人和桂难受死你
cs里面女玩家数量太少了，高分段基本看不到，我唯一见过几次还是和朋友五排打的小号，当然对面也是带妹车，看我们五排他们没敢进
说明cs玩少了，cs挂比瓦多很多
感觉是以前打go的压力怪都转瓦了，以前打lol朋友喊我打了一段时间瓦，上了个神1完事还有带妹的车，带妹的那**开局送了我和那妹妹2打5的回防局我打了四个拆包妹妹没架住完事那男的开始压力我了
我也刚玩100小时多一点 b➕左右 没事可以一起玩玩 我都单排有点无聊了感觉
想换外设的时候想想 donk，人不行别怪路不平，忘了是 donk 还是谁了之前 60 帧照样乱杀
之前看有人做比喻，fps比做饮品，那么cs2一定是白开水，大家都喜欢喝饮料，但是都不能离开白开水",https://tieba.baidu.com/p/10303955422,162,瓦转 go 的一些个人感叹（非引战非踩一捧一）
大佬们帮帮我，顺便欣赏一下我的淬火匕首,https://tieba.baidu.com/p/10310005008,0,为啥玩一把cs流量消耗三百mb，而更高画质玩pubg才一百mb
"CSGO时期最好看的手套，当年多少玩家的梦想就是迈阿密配个红宝石，也是我当年最想要的饰品没有之一，结果现在价格不如树篱的十分之一
便宜那不是挺好的，能圆梦了
所以你想要的不是迈阿密，你只是想要一个公认的富哥手套
我就挺好奇，虽然现在颜值不如go，但对比来看，同价位那几个颜值真就差很多吧，也就导购们觉得麦子是垃圾，对玩家来说还是很不错的选择，1.5都略磨了，还要啥啊
在还cs2初期无磨损的债
手套的爹不争气不进稀有是这样的，树篱原来根本比不了潘子迈阿密，以前都说是蛤蟆皮看着恶心，cs2加强效果加上donk带货拉飞了。
cs2效果太差了  还是还是go时期也不会这样子
啥时候救救双栖最喜欢的手套，搞得烂的一匹，破的吓人
便宜挺好的，更多玩家能买来用
当时还没入坑go时候看直播就喜欢这个手套了 现在极限酒精也能挑一个不错的准备发奖金了在挑个差不多的就不再换手套了
迈阿密是自己的问题，真不如go
只能说刚更新的时候，别管磨损就说材质和配色比现在好看一万倍，没人知道为什么v社脑子抽了一样把材质和颜色改了，没有任何理由
现在变成路边一条
就算他俩价格一样 也是买树篱的多 牢麦cs2改成一坨 而且树的酒精底价能玩 迈阿密酒精底价真是烂完了
迈阿密炼金材料便宜
以前迈阿密可以在几块钱的蛇是出
产量多了而且效果不行
便宜不是挺好，现在两万就能买个微瑕，拿去买潘子战痕都买不到
吃了常规掉落的亏如果手背灰色改成以前的黑色还得涨一波，不知道为啥非要改颜色
你想要贵的你买崭新不就行了，70000块钱洒洒水
便宜不是好事吗
前段时间略磨的好像2万。现在都1万5了？。
迈阿密开过宝石出不来最高p2伪绿
而且最重要的是以前底价崭新也会有食指关节黑块（甚至不是黑点），只有好模版的略磨和崭新才是真的无损，所以当时迈阿密低磨这一块是比潘多拉还贵的，可以说是高端一哥。现在..反正极限酒精挑挑模版都有看得过去的了
你想要的东西便宜了不是好事
随便一个一代手套都能骑在迈阿密头上拉屎
当初的顶级皮现在便宜了是好事，可以圆梦了
这个太吃磨损了，无损得往0.11以下去挑，得两万了
我从go时期一直喜欢迈阿密，就是喜欢
赶紧便宜点，我入一个，之前国庆时候卖了，一直想买回来
啊？迈阿密go时期最好看？不对吧？不是娘炮手套？啊！价格起来以后才转变的吗？最好看的说法是没有的，只有红色系，黄色系，蓝色系的说法！
炒一代手套给森林云杉这种下水道手套都拉起来了，没拉起来和交运胶布坐一桌的，现在酒精跟迈阿密一个价，正常人会买森林云杉？
主要是箱子不行 也就是跟的主子不行 所以价值低
略磨1.4我秒入，太好看了
go时期的一哥不是蓝宝配潘嘛，其次才是迈。go时期的红宝石太拉了，又暗又没纹理的
要不是这样我还用不上呢
你只是喜欢贵的
他俩是同样风格手套挺吃磨损
哪有什么好不好看的  价格决定审美罢了
灰粉浅蓝的配色简直一坨色杂而乱，唯一特色就是持枪粉色大拇指，还不如双栖
2太丑了
可惜2不是了，改了几次，现在的版本除了没那么吃磨损外，持枪，手背都是纯削弱，以前go买不起酒精，买的破损持枪都是干干净净的，现在买的0.20持枪跟刚从下水道掏出来一样唯一好处就是现在0.20都能买到以前略磨的品相，至于树，以前的赖疙瘩变白的亮的吓人的品相，亮的仿佛不是这个游戏的皮肤一样
其实我挺喜欢迈阿密的 只是树立太香了 一把游戏只能装两手套 多买也用不上
不如护卫
不如织物黑王蛇元勋森林ddpat的dxq
迈阿密好看？可能是个人审美吧，反正玩csgo以来只喜欢过2种手套，王蛇和黑王蛇。其他的，你现实买个同款崭新的用不了60块rmb，就迈阿密这样的，你搞个特别新的自己现实带呗。黑王蛇之前被人炒的比我买的翻了 7 8倍卖了，现在在等王蛇降价了。
这个世存量太多了
4300你能买到酒精麦子，19年都还得卖5000+呢，我只能说圆梦
粉色系唯一之选吧 价格降下来挺好的
v社造神是这样的
这是好事啊
树离之前还不是一样
好看在哪里？
那会儿20年吧树黎酒精才6000 迈阿密8000你看吧
这东西怎么说呢，十月底的时候买了三次迈阿密全都撤了，那会正往上涨，最近那些人估计要哭死了
量太多了
便宜还不好吗，大家都能用，0.2的酒精没记错的话才6k多
树篱是因为donk用了，恰好mvp夺冠才炒起来的。再说那么多磨损，就算潘多拉也还是买一个无所谓的，真好看吗，没见得，黄金ak那更是拉中之拉
我不在乎戴什么，只要能显得有钱就行
被树篱偷走人生的迈阿密小姐迈阿密的手背和树篱换了，更新后材质也和树篱截然相反，引以为傲的手心和手背磨损也被树篱偷了，现在价格也是和19的树篱反了一下
最喜欢超导体  但是太贵了
这不多好的事，我还指望树篱迷宫一起掉呢
装逼的话你买贵的就是了 迈阿密目前这价格挺好
装什么波一呢，你觉得好看便宜了大家买得起了不是好事嘛这有啥惨的，哈比
懂得解释一下迷宫怎么就涨价那么多，迈阿密我是知道引擎光效改了以后效果不如之前了
装毛线啊，拿去充三国杀我才觉得是富哥
你是看价格还是看颜值的？
我觉得迈阿密是好看，但是只有崭新好看，略磨感觉磨损都很大，看起来很难受，酒精更别说了，所以这个价格低了但不应该那么低。树篱略磨就看不出什么磨损了。说点争议的，买顶级手套想让别人觉得你是富哥那就要买看不出来什么磨损的，你买酒精迈阿密别人会觉得你硬装富哥。
好帖子，就地摆摊无损迈阿密，可以走uusm，补贴都给你
老好看了
现在也挺好看啊
还是那句话，我之前就在贴吧说过了，v社故意打压二三代手套，捧一代手套，有意造成饰品分层。如果你一定要跟我讲cs2一代手套树篱潘多拉超导体薄荷和服，恰好全部都加强，二三代王蛇变黄蛇迈阿密变灰双栖无损模版很多都变有损，恰好全削弱，这件事纯属巧合，属于v社的无意之举，那我也无话可说。
酒精2000估计才会考虑买，吃磨损的同时手掌面脏的不行，有这个预算宁愿买老虎
关键是还会更便宜的
迈阿密这配色真的好看吗
确实，原本保二争一的手套，跟潘子不相上下。
迈阿密现在性价比很高，很适合自用
你应该说 迈阿密改的已经能买的起了 要是还和go时期的效果 那还是贵
闹麻了，我故意找茬都说不出这种话，这个游戏领域大神应该给你当
上个月买了五次这个全撤回了，给我气的直接去买潘多拉了，也是连续撤回，上个月支出都五百万了然后也算好事，这个月都跌了，不知道撤回的那几个作何感想
效果太垃圾了。配色被大砍一刀，沦为路边一条
便宜不爽吗？
我从玩csgo开始就一直想要一个迈阿密，真的是白月光，现在久经便宜也是用上了
当年迈阿密什么价
吃磨损",https://tieba.baidu.com/p/10232748234,170,迈阿密是真的惨
"谁问题最大？
shiro
donk责任最大，自己非要赖在绿龙，换个队早夺冠了
队伍里面有虫豸
donk该走了
Shiro打一半被小孩顶号了全程hide
屏幕前的你难道就没有一点错吗？
donk
肯定donk啊，donk鲨五十个不就赢了
其实是妹子，车主还有shiro三个人发大力了，妹车这俩太硬了，shiro二哥打成蛆，紫薇没指望他能不坑。
和黑闪一样，纯靠大哥c
除了特尼尔都得背
zywoo啊
真正懂🦐的人都知道shiro才是最🦐的，没办法Niko营销太好了Niko送的大 shiro送的多，Chopper送的又大有多shiro啊shiro，一辈子就赢一个上海吗🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐🦐
我认为是猎鹰背这个锅，紫薇打猎鹰猛猛发挥导致donk对他抱太高期望忘了他是个本质菜鸟了
我，我发现我一看比赛就有一个队要输。有没有一样的uu，蹲蹲
队友全是神人，空枪怪息肉，i1cpu超哥，喜欢紫薇的紫薇，也就特在补关键人头
肯定是donk啊飞屋一个他把把杀五个不就行了
赛点局跑中路红温开送，他有啥脸给队友甩脸啊
s姓男子
首先心态要稳，这点要学zywoo，稳如老狗
这不是自己找来的人，自己约的炮啊
紫薇特尼尔两人摸 A2 楼被火仔特完那波给我看笑了，带这俩出生怎么赢？
这紫薇恢复🐷籍了，先送走niko，在送走donk
彩笔问题最大
我的问题，如果我当时没有选择退出的话我或许会带着donk拿下无数辉煌💔
肯定是donk啊把把五个不就赢了
息肉是真特么软啊，真特么软啊！
我背，我当时没顶载物号导致的
包是兮若的，尿裤子了来一句我喜欢这游戏给donk干急眼了
shiro稳定了一年 就这一场珉了太可惜了 然后两头柱就不说了  图一有机会赢的或许结局就不一样了
大超和他的前妻
打完马上提出交易申请，可想而知有多生气了
给donk打成大力王了
本来上回没马圣早输了donk还没逆天到能一带4
二十二楼这哥们太夸张了，言论和“不管你充了多少钱，在你黑原神那一刻，你对原神的贡献就清零了”如出一辙，建议严查
狙和卓伟问题最大
说明还是得练，每局杀五个不就行了
个人觉得shiro，迷城后面没杀人
donk为什么要生气
捣donk鬼别捣donk
donk自己。太菜。不杀5个怎么玩
大超的电脑问题~~~~
这么多大哥都带不动donk，你觉得呢
但我说实话，当时下半场的ropz太夸张了，跟透视一样，对面在哪都能接。上半场妹子发挥了几把，拿了几分，拖到下半场ropz醒了，开兜之后表现太夸张了
打猎鹰的时候，紫薇:看我今天把超级巨星步枪手送回家打小蜜蜂，紫薇:昨天送走一个场上怎么还有一个，算了，一块送回家得了
超破除了那个背身，问题还真不算太大，指令也比之前强了。
蛋÷问题最大，dy换紫薇头像导致紫菜原形毕露了
若哲伟，这个major的chopper真还好",https://tieba.baidu.com/p/10299564609,171,所以这锅谁背？
"每天打开电脑前几把还没事，打的时间长了，就会掉帧和抽帧，现在沙二的地板都卡没了，各位大佬，这是咋回事啊不会是cf和洲打得多了给我硬盘扫坏了吧
更新一下显卡驱动，steam cs里面文件检验一下。可以试一试
我也是 重启游戏又好了  之前就出现过。之前的现象是帧率会一直掉到50左右  现在是掉到160左右 但是显示效果一样的。怀疑是游戏问题
看画面这个样子，更像是读取过慢，你是固态还是机械硬盘，如果是机械硬盘，可以尝试将游戏放在固态。第二个方法：尝试升级显卡驱动第三：掉帧和抽帧的问题，你可以去设置一下虚拟内存，以及检查英伟达游戏的驱动 GeForceExperience，点开设置 看到游戏内覆盖这个选项，如果打开了，关掉它。",https://tieba.baidu.com/p/10309921212,5,求助各位20cm+
"最近在准备买蝴蝶的久经黑压和破损蓝钢二选一，但是一直在犹豫买哪个
黑压灰太多了，不如蓝钢
个人感觉黑压。虽然蓝钢在光线充足的地方反光效果好，但是在暗处啥细节就都没了，就黑乎乎的一块。
自动化看看?
蓝钢在0.25以下都有裂纹，在暗处挺明显的
深红之网
黑鸭灰太多，不如大马或者自由
磨损高了就会有这种裂纹，在一些暗处看刀面就跟沾了灰一样
黑压不是更灰？一步到位加钱吧
黑压，搭配猩红头巾很不错
蓝钢是牢大啊，还是黑压流通性好
蓝钢得挑，黑压无脑买都一样
1158话估计要抬加林圣了冷肆",https://tieba.baidu.com/p/10309185759,32,求建议
